sale_id,model,dealer_city,sale_date,sale_price_inr,customer_type
SALE0044,BMW_330e,Hyderabad,2025-01-16,6546228,Fleet
SALE0045,BMW_X5,Bengaluru,2025-06-09,9560257,Individual
SALE0046,BMW_i4,Pune,2025-04-01,7846195,Corporate
SALE0047,BMW_i5,Pune,2025-01-20,7863251,Fleet
SALE0048,BMW_iX,Ahmedabad,2025-01-06,11999675,Corporate
SALE0049,BMW_i5,Bengaluru,2025-01-19,8894292,Individual
SALE0050,BMW_320i,Bengaluru,2025-01-11,4717838,Corporate
SALE0051,BMW_i5,Bengaluru,2025-04-27,8690375,Corporate
SALE0052,BMW_i5,Pune,2025-02-28,8158434,Individual
SALE0053,BMW_iX,Bengaluru,2025-04-06,11362391,Corporate
SALE0054,BMW_X5,Ahmedabad,2025-08-23,9486973,Corporate
SALE0055,BMW_X5,Chennai,2025-07-31,10071517,Individual
SALE0056,BMW_i4,Kolkata,2025-08-13,6942455,Fleet
SALE0057,BMW_X1,Pune,2025-02-14,4663213,Fleet
SALE0058,BMW_X5,Ahmedabad,2025-04-07,10079836,Individual
SALE0059,BMW_X1,Hyderabad,2025-02-22,5152834,Corporate
SALE0060,BMW_X3,Hyderabad,2025-01-08,6337861,Fleet
SALE0061,BMW_X5,Bengaluru,2025-02-09,10594098,Individual
SALE0062,BMW_X5,Kolkata,2025-02-10,10232097,Corporate
SALE0063,BMW_i5,Delhi,2025-06-07,8305269,Fleet
SALE0064,BMW_X1,Delhi,2025-06-09,5123866,Individual
SALE0065,BMW_X3,Chennai,2025-02-25,7091024,Corporate
SALE0066,BMW_i4,Chennai,2025-05-09,6728947,Corporate
SALE0067,BMW_iX,Chennai,2025-03-03,12374462,Fleet
SALE0068,BMW_X1,Bengaluru,2025-03-21,4666264,Corporate
SALE0069,BMW_i4,Mumbai,2025-04-05,7750091,Individual
SALE0070,BMW_i5,Delhi,2025-01-13,8429487,Individual
SALE0071,BMW_i5,Bengaluru,2025-05-22,8259748,Individual
SALE0072,BMW_iX,Pune,2025-01-05,12725814,Individual
SALE0073,BMW_i5,Bengaluru,2025-07-11,8926526,Individual
SALE0074,BMW_320i,Ahmedabad,2025-05-15,4597054,Corporate
SALE0075,BMW_i4,Hyderabad,2025-02-09,6884917,Corporate
SALE0076,BMW_X5,Pune,2025-01-03,10111492,Fleet
SALE0077,BMW_330e,Bengaluru,2025-01-26,6172851,Corporate
SALE0078,BMW_X5,Chennai,2025-02-11,9656392,Fleet
SALE0079,BMW_iX,Kolkata,2025-07-22,11558837,Individual
SALE0080,BMW_320i,Hyderabad,2025-08-27,4307688,Fleet
SALE0081,BMW_X5,Bengaluru,2025-06-26,9745080,Fleet
SALE0082,BMW_i5,Bengaluru,2025-07-31,7823925,Individual
SALE0083,BMW_320i,Mumbai,2025-06-05,4766576,Individual
SALE0084,BMW_i4,Ahmedabad,2025-02-11,7282783,Individual
SALE0085,BMW_X5,Pune,2025-02-25,10174007,Corporate
SALE0086,BMW_i5,Hyderabad,2025-04-29,8000905,Individual
SALE0087,BMW_i4,Chennai,2025-03-09,6908997,Corporate
SALE0088,BMW_X1,Kolkata,2025-05-18,4736373,Individual
SALE0089,BMW_X3,Delhi,2025-05-23,7115155,Corporate
SALE0090,BMW_i4,Kolkata,2025-03-03,7768394,Fleet
SALE0091,BMW_X1,Hyderabad,2025-06-21,4871749,Fleet
SALE0092,BMW_X1,Kolkata,2025-08-22,5384534,Fleet
SALE0093,BMW_320i,Bengaluru,2025-07-09,4955367,Fleet
SALE0094,BMW_330e,Hyderabad,2025-05-17,6200229,Fleet
SALE0095,BMW_X5,Kolkata,2025-03-03,9293194,Fleet
SALE0096,BMW_iX,Bengaluru,2025-07-12,12509652,Fleet
SALE0097,BMW_X3,Kolkata,2025-04-21,6329512,Individual
SALE0098,BMW_iX,Ahmedabad,2025-01-11,11946262,Individual
SALE0099,BMW_320i,Ahmedabad,2025-03-28,4811786,Corporate
SALE0100,BMW_X1,Kolkata,2025-02-10,5174298,Individual
